PROGRAM,RECIPIENT_NAME,RECIPIENT_LOCATION_SA2_NAME_2016,RECIPIENT_LOCATION_SA3_NAME_2016,RECIPIENT_LOCATION_SA4_Name_2016,RECIPIENT_LOCATION_GCCSA_NAME_2016,PROJECT_TITLE_OUTLINE,RESEARCHER_FELLOW,SECTOR,PARTNER,APPROVAL_DATE,FUNDING_COMMITTED_EXGST,QLD_SCIENCE_PRIORITY,PROJECT_TIMEFRAME_MONTH,ROUND_NUMBER
Aboriginal and Torres Strait Islander PhD Scholarships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,An indigenous journey through the 21st century educational landscapes of new metrics,Mr Troy Meston,Education and Training, Australian Council for Educational Research,28/01/2016,120000,Knowledge Intensive Services,36,1
Aboriginal and Torres Strait Islander Research Fellowships,Commonwealth Scientific and Industrial Research Organisation,Pinjarra Hills - Pullenvale,Kenmore - Brookfield - Moggill,Brisbane - West,Greater Brisbane,Transforming hidden data: An integrative information system for Torres Strait,Dr Cass Hunter,Great Barrier Reef,Torres Strait Regional Authority | Reef and Rainforest Research Centre,28/01/2016,240000,Digitally Enabled Technologies,36,1
Hot DesQ,TimeLooper,Kelvin Grove - Herston,Brisbane Inner - North,Brisbane Inner City,Greater Brisbane,Expansion into Queensland. TimeLooper is a tourism virtual reality startup. ,,Startup + Entrepreneurialism + Tourism,Creative Enterprise Australia|Queensland University of Technology,,50000,,6,1
Hot DesQ (Startup Attraction),QUT Creative Enterprise Australia,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Hot DesQ Hosts for TimeLooper. Providing mentouring and free-coworking for 6 months,,Creative Industries,,,6000,,6,1
Ignite Ideas,Admedus Vaccines Pty Ltd,South Brisbane,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Development of a therapeutic HPV vaccine to clinical proof of concept,,Pharmaceutical/ Bio-pharmaceuticals,Royal Brisbane and Women's Hospital|Mater Gynaecological Oncology Service|Fox Tox Limited|Clinical Network Service Pty LTD|Medicines Development Ltd|CPR Pharma Services P LTD,22/06/2016,250000,,24,1
Ignite Ideas,Agalytics Pty Ltd,Indooroopilly,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,agAlytics Soil Nutrient Management,,Healthcare and Biotechnology,,22/06/2016,100000,,12,1
Ignite Ideas,Alsonex Pty Ltd,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Complement inhibitor for treating motor neurone disease,,Natural Resources,,22/06/2016,100000,,12,1
Ignite Ideas,Apunga Pty Ltd,South Brisbane,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Apunga - Horticultural Farm Management & QA System,,IT & Enterprise software,,22/06/2016,100000,,12,1
Ignite Ideas,Arthritis Relief Plus Limited,Mermaid Beach - Broadbeach,Broadbeach - Burleigh,Gold Coast,Rest of Qld,Patented Topical for Joint Pain including from Osteoarthritis,,Electromechanical Manufacture,,22/06/2016,93500,,12,1
Ignite Ideas,Atmail Pty Ltd,Noosa Heads,Noosa,Sunshine Coast,Rest of Qld,MailStorm - Object storage plugin for email service providers,,Energy and clean tech,,22/06/2016,100000,,12,1
Ignite Ideas,Axis Energy Group Pty Ltd,,Southport,Gold Coast,Rest of Qld,Optimisation of patented wind turbines,,Healthcare and Biotechnology,,22/06/2016,100000,,12,1
Ignite Ideas,Bayro No.1 Pty Ltd,Miles - Wandoan,Darling Downs (West) - Maranoa,Darling Downs - Maranoa,Rest of Qld,World-first feeding device for people impaired with dysphagia (Rosecup/NutriTaste),,Healthcare and Biotechnology,Vividus|B&C Plastics|Steggall Nutrition|TJIP,22/06/2016,250000,,24,1
Ignite Ideas,Brisbane Materials Technology Pty Ltd,Inala - Richlands,Forest Lake - Oxley,Ipswich,Greater Brisbane,New Material for LED Manufacturing,,Mobile and Wireless,,22/06/2016,100000,,12,1
Ignite Ideas,Coral Sunscreen Pty Ltd,Mundingburra,Townsville,Townsville,Rest of Qld,UV protection filters for humans and materials inspired by Great Barrier Reef Coral sun protection mechanism,,Healthcare and Biotechnology,CSIRO- Bio Medical Science Div|Dibbs Barker Pty Ltd,22/06/2016,250000,,24,1
Ignite Ideas,Didgigo Marketing Pty Ltd,,Southport,Gold Coast,Rest of Qld,Markets Engagement - Didgigo,,IT & Enterprise software,,22/06/2016,100700,,24,1
Ignite Ideas,Dingo Energy Pty Ltd,Stafford,Chermside,Brisbane - North,Greater Brisbane,Cloud Based Visual Inspection App and service for Asset Based Industries,,Mobile and Wireless,,22/06/2016,97000,,12,1
Ignite Ideas,Elevare Energy Pty Ltd,Aspley,Chermside,Brisbane - North,Greater Brisbane,"""Smart"" batteries using clean energy to reduce commercial building electricity costs",,Energy and clean tech,Central Queensland University|Griffith University|Go Zero Energy,22/06/2016,250000,,24,1
Ignite Ideas,Ellume Pty Ltd,South Brisbane,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Clinical validation trial for Respirio Flu Test (RFT),,Healthcare and Biotechnology,McColl Clinical Research Consultants|Caron Hookway (Clinical Research Associate)|Sullivan & Nicolaides pathology|University of Queensland,22/06/2016,250000,,24,1
Ignite Ideas,Enviromist Pty Ltd,Ashgrove,Brisbane Inner - West,Brisbane Inner City,Greater Brisbane,Dust suppression system for stockpile discharge converyors,,Natural Resources,,22/06/2016,100000,,12,1
Ignite Ideas,Field Orthopaedics Pty Ltd,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Field Orthopaedics Magnetic Total Wrist Replacement,,IT & Enterprise software,,22/06/2016,100000,,12,1
